"time","DOC","Cs","X"
1.47,0.552899361388139,0.504317305611861,"PILF"
1.48,0.553565538457883,0.503651128542117,"PILF"
1.49,0.55421984765788,0.50299681934212,"PILF"
1.5,0.554862500073383,0.502354166926617,"PILF"
1.51,0.555493703047223,0.501722963952777,"PILF"
1.52,0.556113660245735,0.501103006754265,"PILF"
1.53,0.55672257172354,0.50049409527646,"PILF"
1.54,0.557320633987197,0.499896033012803,"PILF"
1.55,0.55790804005775,0.49930862694225,"PILF"
1.56,0.558484979532183,0.498731687467817,"PILF"
1.57,0.559051638643808,0.498165028356192,"PILF"
1.58,0.559608200321597,0.497608466678404,"PILF"
1.59,0.560154844248479,0.497061822751522,"PILF"
1.6,0.560691746918626,0.496524920081374,"PILF"
1.61,0.561219081693736,0.495997585306264,"PILF"
1.62,0.561737018858326,0.495479648141674,"PILF"
1.63,0.562245725674077,0.494970941325923,"PILF"
1.64,0.562745366433208,0.494471300566792,"PILF"
1.65,0.563236102510936,0.493980564489064,"PILF"
1.66,0.563718092417007,0.493498574582993,"PILF"
1.67,0.564191491846331,0.493025175153669,"PILF"
1.68,0.564656453728727,0.492560213271273,"PILF"
1.69,0.565113128277804,0.492103538722196,"PILF"
1.7,0.565561663038978,0.491655003961022,"PILF"
1.71,0.566002202936654,0.491214464063346,"PILF"
1.72,0.566434890320579,0.490781776679422,"PILF"
1.73,0.56685986501138,0.49035680198862,"PILF"
1.74,0.567277264345311,0.489939402654689,"PILF"
1.75,0.567687223218208,0.489529443781792,"PILF"
1.76,0.568089874128674,0.489126792871326,"PILF"
1.77,0.568485347220509,0.488731319779491,"PILF"
1.78,0.568873770324394,0.488342896675606,"PILF"
1.79,0.569255268998842,0.487961398001158,"PILF"
1.8,0.569629966570431,0.487586700429569,"PILF"
1.81,0.569997984173327,0.487218682826673,"PILF"
1.82,0.570359440788118,0.486857226211882,"PILF"
1.83,0.570714453279961,0.486502213720039,"PILF"
1.84,0.571063136436058,0.486153530563942,"PILF"
1.85,0.571405603002476,0.485811063997524,"PILF"
1.86,0.571741963720316,0.485474703279684,"PILF"
1.87,0.572072327361248,0.485144339638753,"PILF"
1.88,0.572396800762417,0.484819866237584,"PILF"
1.89,0.57271548886074,0.484501178139261,"PILF"
1.9,0.573028494726592,0.484188172273408,"PILF"
1.91,0.573335919596907,0.483880747403093,"PILF"
1.92,0.573637862907686,0.483578804092315,"PILF"
1.93,0.573934422325939,0.483282244674061,"PILF"
1.94,0.574225693781065,0.482990973218936,"PILF"
1.95,0.574511771495671,0.48270489550433,"PILF"
1.96,0.574792748015854,0.482423918984147,"PILF"
1.97,0.57506871424095,0.482147952759051,"PILF"
1.98,0.575339759452751,0.48187690754725,"PILF"
1.99,0.575605971344213,0.481610695655788,"PILF"
2,0.575867436047656,0.481349230952345,"PILF"
2.01,0.576124238162461,0.48109242883754,"PILF"
2.02,0.576376460782288,0.480840206217713,"PILF"
2.03,0.576624185521802,0.480592481478199,"PILF"
2.04,0.576867492542937,0.480349174457064,"PILF"
2.05,0.577106460580686,0.480110206419315,"PILF"
2.06,0.577341166968447,0.479875500031554,"PILF"
2.07,0.577571687662909,0.479644979337092,"PILF"
2.08,0.57779809726851,0.479418569731491,"PILF"
2.09,0.578020469061449,0.479196197938552,"PILF"
2.1,0.578238875013286,0.478977791986715,"PILF"
2.11,0.57845338581412,0.478763281185881,"PILF"
2.12,0.578664070895353,0.478552596104648,"PILF"
2.13,0.578870998452056,0.478345668547945,"PILF"
2.14,0.579074235464941,0.47814243153506,"PILF"
2.15,0.579273847721938,0.477942819278063,"PILF"
2.16,0.579469899839392,0.477746767160609,"PILF"
2.17,0.579662455282893,0.477554211717108,"PILF"
2.18,0.579851576387723,0.477365090612278,"PILF"
2.19,0.580037324378952,0.477179342621049,"PILF"
2.2,0.580219759391173,0.476996907608828,"PILF"
2.21,0.580398940487891,0.47681772651211,"PILF"
2.22,0.580574925680566,0.476641741319435,"PILF"
2.23,0.580747771947315,0.476468895052686,"PILF"
2.24,0.580917535251294,0.476299131748707,"PILF"
2.25,0.581084270558741,0.47613239644126,"PILF"
2.26,0.581248031856708,0.475968635143293,"PILF"
2.27,0.581408872170475,0.475807794829526,"PILF"
2.28,0.581566843580658,0.475649823419343,"PILF"
2.29,0.581721997240009,0.475494669759992,"PILF"
2.3,0.581874383389923,0.475342283610078,"PILF"
2.31,0.582024051376651,0.47519261562335,"PILF"
2.32,0.582171049667222,0.475045617332779,"PILF"
2.33,0.58231542586509,0.474901241134911,"PILF"
2.34,0.582457226725493,0.474759440274508,"PILF"
2.35,0.582596498170549,0.474620168829451,"PILF"
2.36,0.582733285304083,0.474483381695918,"PILF"
2.37,0.582867632426181,0.47434903457382,"PILF"
2.38,0.582999583047499,0.474217083952502,"PILF"
2.39,0.583129179903311,0.47408748709669,"PILF"
2.4,0.583256464967308,0.473960202032693,"PILF"
2.41,0.583381479465154,0.473835187534847,"PILF"
2.42,0.583504263887797,0.473712403112204,"PILF"
2.43,0.583624858004552,0.473591808995449,"PILF"
2.44,0.583743300875942,0.473473366124059,"PILF"
2.45,0.583859630866318,0.473357036133684,"PILF"
2.46,0.583973885656251,0.47324278134375,"PILF"
2.47,0.584086102254708,0.473130564745294,"PILF"
2.48,0.584196317011004,0.473020349988997,"PILF"
2.49,0.584304565626552,0.472912101373449,"PILF"
2.5,0.584410883166397,0.472805783833604,"PILF"
2.51,0.584515304070544,0.472701362929457,"PILF"
2.52,0.584617862165093,0.472598804834908,"PILF"
2.53,0.584718590673169,0.472498076326833,"PILF"
2.54,0.584817522225656,0.472399144774346,"PILF"
2.55,0.584914688871749,0.472301978128253,"PILF"
2.56,0.585010122089311,0.47220654491069,"PILF"
2.57,0.58510385279505,0.472112814204951,"PILF"
2.58,0.585195911354509,0.472020755645492,"PILF"
2.59,0.585286327591889,0.471930339408113,"PILF"
2.6,0.585375130799684,0.471841536200317,"PILF"
2.61,0.585462349748159,0.471754317251842,"PILF"
2.62,0.585548012694649,0.471668654305353,"PILF"
2.63,0.585632147392692,0.471584519607309,"PILF"
2.64,0.585714781101011,0.47150188589899,"PILF"
2.65,0.585795940592326,0.471420726407676,"PILF"
2.66,0.585875652162007,0.471341014837994,"PILF"
2.67,0.585953941636586,0.471262725363415,"PILF"
2.68,0.586030834382105,0.471185832617896,"PILF"
2.69,0.586106355312322,0.471110311687679,"PILF"
2.7,0.586180528896768,0.471036138103233,"PILF"
2.71,0.586253379168663,0.470963287831338,"PILF"
2.72,0.586324929732689,0.470891737267312,"PILF"
2.73,0.586395203772629,0.470821463227372,"PILF"
2.74,0.586464224058863,0.470752442941139,"PILF"
2.75,0.586532012955734,0.470684654044267,"PILF"
2.76,0.58659859242879,0.470618074571212,"PILF"
2.77,0.586663984051882,0.47055268294812,"PILF"
2.78,0.58672820901415,0.470488457985851,"PILF"
2.79,0.586791288126877,0.470425378873124,"PILF"
2.8,0.586853241830224,0.470363425169776,"PILF"
2.81,0.586914090199842,0.470302576800159,"PILF"
2.82,0.58697385295337,0.470242814046631,"PILF"
2.83,0.587032549456814,0.470184117543187,"PILF"
2.84,0.587090198730818,0.470126468269183,"PILF"
2.85,0.587146819456813,0.470069847543188,"PILF"
2.86,0.587202429983071,0.47001423701693,"PILF"
2.87,0.587257048330635,0.469959618669365,"PILF"
2.88,0.58731069219916,0.469905974800841,"PILF"
2.89,0.587363378972633,0.469853288027367,"PILF"
2.9,0.587415125725008,0.469801541274993,"PILF"
2.91,0.587465949225726,0.469750717774275,"PILF"
2.92,0.587515865945146,0.469700801054855,"PILF"
2.93,0.587564892059878,0.469651774940123,"PILF"
2.94,0.587613043458017,0.469603623541984,"PILF"
2.95,0.587660335744285,0.469556331255716,"PILF"
2.96,0.587706784245123,0.469509882754878,"PILF"
2.97,0.587752404013627,0.469464262986374,"PILF"
2.98,0.587797209834279,0.469419457165721,"PILF"
2.99,0.587841216227936,0.469375450772065,"PILF"
3,0.587884437456464,0.469332229543536,"PILF"
3.01,0.587926887527355,0.469289779472646,"PILF"
3.02,0.587968580198253,0.469248086801748,"PILF"
3.03,0.588009528981414,0.469207138018587,"PILF"
3.04,0.58804974714808,0.469166919851921,"PILF"
3.05,0.588089247732777,0.469127419267224,"PILF"
3.06,0.588128043537533,0.469088623462468,"PILF"
3.07,0.588166147136025,0.469050519863976,"PILF"
3.08,0.588203570877652,0.469013096122349,"PILF"
3.09,0.588240326891532,0.468976340108469,"PILF"
3.1,0.588276427090429,0.468940239909572,"PILF"
3.11,0.588311883174615,0.468904783825385,"PILF"
3.12,0.588346706635655,0.468869960364346,"PILF"
3.13,0.588380908760128,0.468835758239873,"PILF"
3.14,0.588414500633286,0.468802166366715,"PILF"
3.15,0.588447493142642,0.468769173857359,"PILF"
3.16,0.588479896981496,0.468736770018505,"PILF"
3.17,0.588511722652398,0.468704944347603,"PILF"
3.18,0.58854298047055,0.468673686529452,"PILF"
3.19,0.588573680567147,0.468642986432854,"PILF"
3.2,0.588603832892659,0.468612834107342,"PILF"
3.21,0.588633447220054,0.468583219779947,"PILF"
3.22,0.58866253314796,0.468554133852041,"PILF"
3.23,0.588691100103779,0.468525566896222,"PILF"
3.24,0.588719157346738,0.468497509653264,"PILF"
3.25,0.588746713970888,0.468469953029114,"PILF"
3.26,0.588773778908051,0.46844288809195,"PILF"
3.27,0.588800360930713,0.468416306069288,"PILF"
3.28,0.588826468654864,0.468390198345137,"PILF"
3.29,0.588852110542792,0.468364556457209,"PILF"
3.3,0.588877294905821,0.46833937209418,"PILF"
3.31,0.588902029907007,0.468314637092994,"PILF"
3.32,0.588926323563777,0.468290343436224,"PILF"
3.33,0.588950183750535,0.468266483249467,"PILF"
3.34,0.588973618201201,0.4682430487988,"PILF"
3.35,0.58899663451173,0.468220032488271,"PILF"
3.36,0.589019240142561,0.468197426857441,"PILF"
3.37,0.58904144242104,0.468175224578961,"PILF"
3.38,0.589063248543796,0.468153418456206,"PILF"
3.39,0.589084665579064,0.468132001420937,"PILF"
3.4,0.589105700468986,0.468110966531015,"PILF"
