time,X,DOC,type
1.6,JBLS,1.037413344,Langmuir
1.7,JBLS,1.038608803,Langmuir
1.8,JBLS,1.03720217,Langmuir
1.9,JBLS,1.035813287,Langmuir
2,JBLS,1.036825509,Langmuir
2.1,JBLS,1.037701717,Langmuir
2.2,JBLS,1.036964459,Langmuir
2.3,JBLS,1.036227201,Langmuir
2.4,JBLS,1.036940425,Langmuir
2.5,JBLS,1.03781888,Langmuir
2.6,JBLS,1.037569517,Langmuir
2.7,JBLS,1.036382754,Langmuir
2.8,JBLS,1.036033374,Langmuir
2.9,JBLS,1.037245471,Langmuir
3,JBLS,1.037716969,Langmuir
3.1,JBLS,1.036781642,Langmuir
3.2,JBLS,1.03639839,Langmuir
3.3,JBLS,1.037222117,Langmuir
3.4,JBLS,1.03785285,Langmuir
3.5,JBLS,1.036885137,Langmuir
3.6,JBLS,1.035917425,Langmuir
3.7,JBLS,1.036734394,Langmuir
3.8,JBLS,1.037877098,Langmuir
3.9,JBLS,1.037434696,Langmuir
4,JBLS,1.036344023,Langmuir
4.1,JBLS,1.036600617,Langmuir
4.2,JBLS,1.037522309,Langmuir
4.3,JBLS,1.03739812,Langmuir
4.4,JBLS,1.036503666,Langmuir
4.5,JBLS,1.03632371,Langmuir
4.6,JBLS,1.037334317,Langmuir
4.7,JBLS,1.037979735,Langmuir
4.8,JBLS,1.036886321,Langmuir
4.9,JBLS,1.035919405,Langmuir
5,JBLS,1.03694662,Langmuir
5.1,JBLS,1.037973835,Langmuir
5.2,JBLS,1.037070658,Langmuir
5.3,JBLS,1.036138173,Langmuir
5.4,JBLS,1.036814909,Langmuir
5.5,JBLS,1.037758379,Langmuir
5.6,JBLS,1.037377287,Langmuir
5.7,JBLS,1.036352879,Langmuir
5.8,JBLS,1.036383269,Langmuir
5.9,JBLS,1.037437297,Langmuir
6,JBLS,1.037676151,Langmuir
6.1,JBLS,1.036678936,Langmuir
6.2,JBLS,1.036258677,Langmuir
6.3,JBLS,1.037208557,Langmuir
6.4,JBLS,1.037861651,Langmuir
6.5,JBLS,1.036888019,Langmuir
6.6,JBLS,1.035914387,Langmuir
6.7,JBLS,1.036909671,Langmuir
6.8,JBLS,1.037933345,Langmuir
6.9,JBLS,1.037234518,Langmuir
7,JBLS,1.036208054,Langmuir
7.1,JBLS,1.036642014,Langmuir
7.2,JBLS,1.03762795,Langmuir
7.3,JBLS,1.037428791,Langmuir
7.4,JBLS,1.036462696,Langmuir
7.5,JBLS,1.03639752,Langmuir
7.6,JBLS,1.037387408,Langmuir
7.7,JBLS,1.037764453,Langmuir
7.8,JBLS,1.036747284,Langmuir
7.9,JBLS,1.036072511,Langmuir
8,JBLS,1.037082202,Langmuir
8.1,JBLS,1.037995449,Langmuir
8.2,JBLS,1.037011816,Langmuir
8.3,JBLS,1.036028182,Langmuir
8.4,JBLS,1.036848166,Langmuir
8.5,JBLS,1.037826642,Langmuir
8.6,JBLS,1.037277132,Langmuir
8.7,JBLS,1.036279953,Langmuir
8.8,JBLS,1.036541261,Langmuir
8.9,JBLS,1.037551417,Langmuir
9,JBLS,1.037567874,Langmuir
9.1,JBLS,1.036567686,Langmuir
9.2,JBLS,1.036298011,Langmuir
9.3,JBLS,1.037283342,Langmuir
9.4,JBLS,1.037808347,Langmuir
9.5,JBLS,1.036821663,Langmuir
9.6,JBLS,1.036013219,Langmuir
9.7,JBLS,1.037012843,Langmuir
9.8,JBLS,1.038012468,Langmuir
9.9,JBLS,1.037110431,Langmuir
10,JBLS,1.036106245,Langmuir
10.1,JBLS,1.036735563,Langmuir
10.2,JBLS,1.037731251,Langmuir
10.3,JBLS,1.037365472,Langmuir
10.4,JBLS,1.036377474,Langmuir
10.5,JBLS,1.036476883,Langmuir
10.6,JBLS,1.037468572,Langmuir
10.7,JBLS,1.037647425,Langmuir
10.8,JBLS,1.03664792,Langmuir
10.9,JBLS,1.03618912,Langmuir
11,JBLS,1.037189263,Langmuir
11.1,JBLS,1.037914793,Langmuir
11.2,JBLS,1.036921003,Langmuir
11.3,JBLS,1.035935728,Langmuir
11.4,JBLS,1.036926357,Langmuir
11.5,JBLS,1.037916985,Langmuir
11.6,JBLS,1.037187388,Langmuir
11.7,JBLS,1.03619314,Langmuir
11.8,JBLS,1.036648558,Langmuir
11.9,JBLS,1.037647207,Langmuir
12,JBLS,1.037465612,Langmuir
12.1,JBLS,1.036468158,Langmuir
12.2,JBLS,1.036381491,Langmuir
12.3,JBLS,1.037374972,Langmuir
12.4,JBLS,1.037727898,Langmuir
12.5,JBLS,1.036735387,Langmuir
12.6,JBLS,1.036110263,Langmuir
12.7,JBLS,1.037105778,Langmuir
12.8,JBLS,1.038007392,Langmuir
12.9,JBLS,1.037009907,Langmuir
13,JBLS,1.036012421,Langmuir
13.1,JBLS,1.036831818,Langmuir
13.2,JBLS,1.037827888,Langmuir
13.3,JBLS,1.037278247,Langmuir
13.4,JBLS,1.036284611,Langmuir
13.5,JBLS,1.036564758,Langmuir
13.6,JBLS,1.037558648,Langmuir
13.7,JBLS,1.037550398,Langmuir
13.8,JBLS,1.036554568,Langmuir
13.9,JBLS,1.036289328,Langmuir
14,JBLS,1.037285994,Langmuir
14.1,JBLS,1.037822099,Langmuir
14.2,JBLS,1.036826836,Langmuir
14.3,JBLS,1.036022275,Langmuir
14.4,JBLS,1.037016403,Langmuir
14.5,JBLS,1.038010531,Langmuir
14.6,JBLS,1.037096135,Langmuir
14.7,JBLS,1.036101538,Langmuir
14.8,JBLS,1.036744433,Langmuir
14.9,JBLS,1.03774035,Langmuir
15,JBLS,1.037369219,Langmuir
15.1,JBLS,1.036373276,Langmuir
15.2,JBLS,1.036473574,Langmuir
15.3,JBLS,1.037468622,Langmuir
15.4,JBLS,1.037638085,Langmuir
15.5,JBLS,1.036643637,Langmuir
15.6,JBLS,1.036203268,Langmuir
15.7,JBLS,1.037198361,Langmuir
15.8,JBLS,1.037910863,Langmuir
15.9,JBLS,1.036915164,Langmuir
16,JBLS,1.03593079,Langmuir
16.1,JBLS,1.036926406,Langmuir
16.2,JBLS,1.037922022,Langmuir
16.3,JBLS,1.037185904,Langmuir
16.4,JBLS,1.036191001,Langmuir
16.5,JBLS,1.036656432,Langmuir
16.6,JBLS,1.037651261,Langmuir
16.7,JBLS,1.037456786,Langmuir
16.8,JBLS,1.036461579,Langmuir
16.9,JBLS,1.036384401,Langmuir
17,JBLS,1.037380014,Langmuir
17.1,JBLS,1.037728316,Langmuir
17.2,JBLS,1.036733011,Langmuir
17.3,JBLS,1.036114138,Langmuir
17.4,JBLS,1.037109151,Langmuir
17.5,JBLS,1.037998488,Langmuir
17.6,JBLS,1.037003532,Langmuir
17.7,JBLS,1.036008575,Langmuir
17.8,JBLS,1.036838096,Langmuir
17.9,JBLS,1.037833446,Langmuir
18,JBLS,1.037275043,Langmuir
18.1,JBLS,1.036279649,Langmuir
18.2,JBLS,1.036566917,Langmuir
18.3,JBLS,1.037562186,Langmuir
18.4,JBLS,1.037545595,Langmuir
18.5,JBLS,1.036550597,Langmuir
18.6,JBLS,1.036296228,Langmuir
18.7,JBLS,1.037291386,Langmuir
18.8,JBLS,1.037816902,Langmuir
